ID: 102013; DES Number: 12278635; Time: 11:58:01
ID: 101954; DES Number: 12387878; Time: 11:58:32
ID: 102052; DES Number: 0-261624; Time: 11:58:53
ID: 102014; DES Number: 62309383; Time: 11:59:47
ID: 102117; DES Number: 23878826; Time: 13:00:08
ID: 102078; DES Number: S2194319; Time: 13:00:37
ID: 102146; DES Number: 82501041; Time: 13:01:39
ID: 102040; DES Number: S2184161; Time: 13:02:04
ID: 102118; DES Number: 13117188; Time: 13:04:07
ID: 102061; DES Number: 82246195; Time: 13:04:45
ID: 102147; DES Number: 00003436; Time: 13:05:20
ID: 102079; DES Number: 02795064; Time: 13:05:41
ID: 102119; DES Number: 01096682; Time: 13:06:09
ID: 102062; DES Number: 00000835; Time: 13:06:46
ID: 102179; DES Number: 20301801; Time: 13:07:18
ID: 102063; DES Number: 82501211; Time: 13:07:45
ID: 102103; DES Number: 07437317; Time: 13:08:20
ID: 102120; DES Number: 82535092; Time: 13:08:51
ID: 102064; DES Number: 00003/20; Time: 13:09:21
ID: 102180; DES Number: 00338289; Time: 13:09:43
ID: 102104; DES Number: 02781405; Time: 13:10:12
ID: 102065; DES Number: 02949721; Time: 13:10:40
ID: 102181; DES Number: 00200321; Time: 13:11:08
ID: 102156; DES Number: 25483113; Time: 13:11:45
ID: 102182; DES Number: 02788459; Time: 13:12:12
ID: 102105; DES Number: 89041613; Time: 13:13:09
ID: 102157; DES Number: 00075668; Time: 13:13:50
ID: 102066; DES Number: 20247331; Time: 13:14:16
ID: 102158; DES Number: 186794-1; Time: 13:15:34
ID: 102183; DES Number: 20245914; Time: 13:16:15
ID: 102106; DES Number: 80769111; Time: 13:16:43
ID: 102159; DES Number: 29026106; Time: 13:17:30
ID: 102067; DES Number: 94860806; Time: 13:17:50
ID: 102107; DES Number: 01965551; Time: 13:19:24
ID: 102184; DES Number: 1-BLU/20; Time: 13:20:02
ID: 102068; DES Number: 82500994; Time: 13:20:30
ID: 102160; DES Number: 62295811; Time: 13:20:51
ID: 102108; DES Number: I0462101; Time: 13:21:19
ID: 102185; DES Number: 0-203328; Time: 13:21:46
ID: 102069; DES Number: 12108171; Time: 13:22:15
ID: 102161; DES Number: 10494823; Time: 13:22:39
ID: 102186; DES Number: 00337321; Time: 13:23:09
ID: 102109; DES Number: 12136615; Time: 13:23:41
ID: 102162; DES Number: 2-BLU/20; Time: 13:24:36
ID: 102187; DES Number: 22000082; Time: 13:24:57
ID: 102163; DES Number: 30281208; Time: 13:25:28
ID: 102110; DES Number: 03291000; Time: 13:25:49
ID: 102080; DES Number: 12264935; Time: 13:26:11
ID: 102164; DES Number: 10500511; Time: 13:29:06
ID: 102081; DES Number: 55415713; Time: 13:29:34
ID: 102188; DES Number: 00338288; Time: 13:29:57
ID: 102129; DES Number: 26730082; Time: 13:30:36
ID: 102165; DES Number: 62325582; Time: 13:31:02
ID: 102092; DES Number: 11133987; Time: 13:31:28
ID: 102130; DES Number: 27732319; Time: 13:32:04
ID: 102219; DES Number: 20246632; Time: 13:32:31
ID: 102192; DES Number: 82514547; Time: 13:34:24
ID: 102093; DES Number: S2185821; Time: 13:34:51
ID: 102131; DES Number: I0462095; Time: 13:35:20
ID: 102193; DES Number: 27808571; Time: 13:35:57
ID: 102220; DES Number: 05585994; Time: 13:36:30
ID: 102132; DES Number: 12304799; Time: 13:37:01
ID: 102221; DES Number: I0460788; Time: 13:38:20
ID: 102194; DES Number: S2183595; Time: 13:39:15
ID: 102094; DES Number: 89040851; Time: 13:39:47
